index,src,dst,prediction
68,10.0.0.35,192.168.1.100,DDoS
69,198.51.100.89,192.168.1.100,DDoS
70,198.51.227.79,192.168.1.100,DDoS
71,198.51.29.234,192.168.1.100,DDoS
72,10.1.0.126,192.168.1.100,DDoS
73,10.0.0.29,192.168.1.100,Normal
74,10.0.0.13,192.168.1.100,Normal
75,198.51.160.42,192.168.1.100,DDoS
76,198.51.46.165,192.168.1.100,DDoS
77,198.51.1.59,192.168.1.100,DDoS
78,10.0.0.36,192.168.1.100,DDoS
79,198.51.95.100,192.168.1.100,DDoS
80,10.1.0.223,192.168.1.100,Normal
81,198.51.181.186,192.168.1.100,DDoS
82,10.0.0.29,192.168.1.100,Normal
83,10.1.0.14,192.168.1.100,DDoS
84,10.0.0.35,192.168.1.100,DDoS
85,10.1.0.7,192.168.1.100,DDoS
86,10.1.0.202,192.168.1.100,DDoS
87,198.51.9.106,192.168.1.100,DDoS
88,10.1.0.110,192.168.1.100,DDoS
89,10.1.0.165,192.168.1.100,Normal
90,10.0.0.30,192.168.1.100,Normal
91,198.51.108.251,192.168.1.100,DDoS
92,10.0.0.4,192.168.1.100,Normal
93,10.1.0.137,192.168.1.100,DDoS
94,10.1.0.190,192.168.1.100,DDoS
95,198.51.160.191,192.168.1.100,DDoS
96,198.51.0.88,192.168.1.100,DDoS
97,10.0.0.44,192.168.1.100,Normal
98,10.1.0.239,192.168.1.100,Normal
99,10.1.0.138,192.168.1.100,Normal
100,198.51.180.138,192.168.1.100,DDoS
101,198.51.90.127,192.168.1.100,DDoS
102,10.0.0.37,192.168.1.100,Normal
103,10.1.0.194,192.168.1.100,Normal
104,198.51.220.223,192.168.1.100,DDoS
105,10.1.0.77,192.168.1.100,Normal
106,10.0.0.27,192.168.1.100,Normal
107,10.0.0.21,192.168.1.100,DDoS
108,198.51.19.94,192.168.1.100,DDoS
109,10.1.0.235,192.168.1.100,Normal
110,10.1.0.140,192.168.1.100,DDoS
111,198.51.32.136,192.168.1.100,DDoS
112,198.51.185.246,192.168.1.100,DDoS
113,10.0.0.49,192.168.1.100,Normal
114,10.0.0.20,192.168.1.100,Normal
115,198.51.150.230,192.168.1.100,DDoS
116,198.51.147.74,192.168.1.100,DDoS
117,198.51.70.103,192.168.1.100,DDoS
118,10.1.0.138,192.168.1.100,Normal
119,198.51.70.42,192.168.1.100,DDoS
120,10.1.0.221,192.168.1.100,DDoS
121,10.1.0.77,192.168.1.100,Normal
122,10.1.0.107,192.168.1.100,Normal
123,198.51.121.87,192.168.1.100,DDoS
124,198.51.4.224,192.168.1.100,DDoS
125,10.1.0.107,192.168.1.100,Normal
126,10.1.0.143,192.168.1.100,Normal
127,198.51.14.114,192.168.1.100,DDoS
128,10.1.0.248,192.168.1.100,DDoS
129,10.0.0.48,192.168.1.100,Normal
130,10.1.0.4,192.168.1.100,Normal
131,198.51.110.218,192.168.1.100,DDoS
132,198.51.117.189,192.168.1.100,DDoS
133,10.1.0.66,192.168.1.100,Normal
134,198.51.241.3,192.168.1.100,DDoS
135,10.1.0.104,192.168.1.100,Normal
136,198.51.248.12,192.168.1.100,DDoS
137,10.0.0.46,192.168.1.100,Normal
138,198.51.109.36,192.168.1.100,DDoS
139,198.51.169.109,192.168.1.100,DDoS
140,198.51.211.208,192.168.1.100,DDoS
141,198.51.199.164,192.168.1.100,DDoS
142,198.51.217.146,192.168.1.100,DDoS
143,198.51.138.72,192.168.1.100,DDoS
144,198.51.30.199,192.168.1.100,DDoS
145,198.51.182.210,192.168.1.100,DDoS
146,10.1.0.71,192.168.1.100,DDoS
147,10.1.0.247,192.168.1.100,Normal
148,10.1.0.169,192.168.1.100,DDoS
149,10.1.0.88,192.168.1.100,Normal
150,10.0.0.40,192.168.1.100,Normal
151,10.1.0.207,192.168.1.100,Normal
152,10.1.0.58,192.168.1.100,DDoS
153,10.0.0.24,192.168.1.100,Normal
154,10.1.0.11,192.168.1.100,Normal
155,198.51.50.81,192.168.1.100,DDoS
156,10.1.0.92,192.168.1.100,DDoS
157,10.1.0.79,192.168.1.100,Normal
158,198.51.154.187,192.168.1.100,DDoS
159,198.51.12.68,192.168.1.100,DDoS
160,198.51.176.101,192.168.1.100,DDoS
161,10.0.0.10,192.168.1.100,Normal
162,198.51.103.93,192.168.1.100,DDoS
163,10.1.0.130,192.168.1.100,DDoS
164,10.1.0.91,192.168.1.100,Normal
165,198.51.247.24,192.168.1.100,DDoS
166,198.51.153.106,192.168.1.100,DDoS
167,198.51.168.247,192.168.1.100,DDoS
168,10.0.0.16,192.168.1.100,Normal
169,10.0.0.28,192.168.1.100,Normal
170,10.1.0.163,192.168.1.100,Normal
171,10.0.0.7,192.168.1.100,Normal
172,10.1.0.211,192.168.1.100,DDoS
173,10.0.0.25,192.168.1.100,DDoS
174,198.51.157.175,192.168.1.100,DDoS
175,10.0.0.31,192.168.1.100,Normal
176,10.1.0.95,192.168.1.100,DDoS
177,198.51.230.85,192.168.1.100,DDoS
178,10.1.0.208,192.168.1.100,Normal
179,10.0.0.23,192.168.1.100,Normal
180,198.51.98.12,192.168.1.100,DDoS
181,198.51.14.102,192.168.1.100,DDoS
182,10.0.0.18,192.168.1.100,Normal
183,10.0.0.29,192.168.1.100,DDoS
184,10.0.0.7,192.168.1.100,Normal
185,198.51.30.80,192.168.1.100,DDoS
186,10.1.0.143,192.168.1.100,DDoS
187,10.1.0.78,192.168.1.100,Normal
188,198.51.134.225,192.168.1.100,DDoS
189,10.1.0.25,192.168.1.100,DDoS
190,10.0.0.35,192.168.1.100,Normal
191,198.51.17.47,192.168.1.100,DDoS
192,198.51.211.49,192.168.1.100,DDoS
193,10.0.0.37,192.168.1.100,Normal
194,10.1.0.221,192.168.1.100,DDoS
195,198.51.184.228,192.168.1.100,DDoS
196,10.0.0.7,192.168.1.100,Normal
197,10.1.0.3,192.168.1.100,Normal
198,10.0.0.37,192.168.1.100,DDoS
199,198.51.160.165,192.168.1.100,DDoS
200,198.51.107.203,192.168.1.100,DDoS
201,10.1.0.188,192.168.1.100,Normal
202,10.0.0.8,192.168.1.100,DDoS
203,10.0.0.36,192.168.1.100,DDoS
204,198.51.17.254,192.168.1.100,DDoS
205,10.0.0.10,192.168.1.100,DDoS
206,10.1.0.64,192.168.1.100,Normal
207,10.1.0.93,192.168.1.100,Normal
208,198.51.139.234,192.168.1.100,DDoS
209,10.1.0.133,192.168.1.100,DDoS
210,198.51.77.38,192.168.1.100,DDoS
211,198.51.32.57,192.168.1.100,DDoS
212,10.0.0.14,192.168.1.100,DDoS
213,10.1.0.239,192.168.1.100,Normal
214,10.0.0.14,192.168.1.100,DDoS
215,10.0.0.40,192.168.1.100,Normal
216,198.51.40.83,192.168.1.100,DDoS
217,198.51.193.162,192.168.1.100,DDoS
218,198.51.52.116,192.168.1.100,DDoS
219,198.51.11.225,192.168.1.100,DDoS
220,10.0.0.8,192.168.1.100,DDoS
221,10.1.0.111,192.168.1.100,Normal
222,10.0.0.11,192.168.1.100,DDoS
223,198.51.24.27,192.168.1.100,DDoS
224,10.1.0.167,192.168.1.100,Normal
225,10.0.0.4,192.168.1.100,DDoS
226,198.51.103.30,192.168.1.100,DDoS
227,198.51.150.170,192.168.1.100,DDoS
228,10.1.0.127,192.168.1.100,DDoS
229,10.1.0.236,192.168.1.100,Normal
230,10.0.0.29,192.168.1.100,DDoS
231,10.0.0.13,192.168.1.100,DDoS
232,10.1.0.240,192.168.1.100,Normal
233,10.0.0.32,192.168.1.100,DDoS
234,10.0.0.3,192.168.1.100,DDoS
235,10.1.0.179,192.168.1.100,Normal
236,198.51.29.45,192.168.1.100,DDoS
237,10.0.0.14,192.168.1.100,Normal
238,198.51.98.45,192.168.1.100,DDoS
239,198.51.160.21,192.168.1.100,DDoS
240,10.0.0.28,192.168.1.100,Normal
241,10.0.0.50,192.168.1.100,DDoS
242,10.1.0.51,192.168.1.100,Normal
243,10.1.0.2,192.168.1.100,Normal
244,10.1.0.205,192.168.1.100,Normal
245,198.51.187.50,192.168.1.100,DDoS
246,198.51.114.75,192.168.1.100,DDoS
247,10.0.0.2,192.168.1.100,DDoS
248,10.0.0.27,192.168.1.100,DDoS
249,198.51.202.237,192.168.1.100,DDoS
250,10.1.0.252,192.168.1.100,DDoS
251,10.1.0.40,192.168.1.100,Normal
252,10.1.0.93,192.168.1.100,Normal
253,10.1.0.175,192.168.1.100,DDoS
254,10.1.0.61,192.168.1.100,Normal
255,198.51.208.144,192.168.1.100,DDoS
256,10.1.0.93,192.168.1.100,Normal
257,198.51.246.246,192.168.1.100,DDoS
258,198.51.55.202,192.168.1.100,DDoS
259,10.1.0.17,192.168.1.100,Normal
260,198.51.230.52,192.168.1.100,DDoS
261,10.1.0.80,192.168.1.100,Normal
262,198.51.98.230,192.168.1.100,DDoS
263,198.51.171.222,192.168.1.100,DDoS
264,10.1.0.172,192.168.1.100,DDoS
265,10.1.0.79,192.168.1.100,Normal
266,10.1.0.222,192.168.1.100,DDoS
267,10.1.0.34,192.168.1.100,Normal
268,198.51.125.135,192.168.1.100,DDoS
269,198.51.31.53,192.168.1.100,DDoS
270,10.0.0.15,192.168.1.100,DDoS
271,10.1.0.18,192.168.1.100,DDoS
272,198.51.125.246,192.168.1.100,DDoS
273,198.51.89.143,192.168.1.100,DDoS
274,10.1.0.92,192.168.1.100,Normal
275,10.1.0.34,192.168.1.100,Normal
276,198.51.165.233,192.168.1.100,DDoS
277,10.1.0.239,192.168.1.100,DDoS
278,198.51.96.250,192.168.1.100,DDoS
279,198.51.160.218,192.168.1.100,DDoS
280,198.51.13.7,192.168.1.100,DDoS
281,10.0.0.43,192.168.1.100,Normal
282,198.51.147.140,192.168.1.100,DDoS
283,198.51.79.130,192.168.1.100,DDoS
284,10.1.0.163,192.168.1.100,DDoS
285,10.0.0.40,192.168.1.100,Normal
286,198.51.243.176,192.168.1.100,DDoS
287,198.51.129.70,192.168.1.100,DDoS
288,10.1.0.241,192.168.1.100,Normal
289,10.1.0.251,192.168.1.100,Normal
290,198.51.94.252,192.168.1.100,DDoS
291,198.51.125.23,192.168.1.100,DDoS
292,10.0.0.15,192.168.1.100,Normal
293,198.51.45.198,192.168.1.100,DDoS
294,198.51.178.140,192.168.1.100,DDoS
295,198.51.32.33,192.168.1.100,DDoS
296,10.0.0.11,192.168.1.100,Normal
297,198.51.29.158,192.168.1.100,DDoS
298,198.51.113.187,192.168.1.100,DDoS
299,10.0.0.24,192.168.1.100,Normal
300,10.0.0.43,192.168.1.100,Normal
301,10.0.0.40,192.168.1.100,DDoS
302,198.51.191.158,192.168.1.100,DDoS
303,198.51.100.41,192.168.1.100,DDoS
304,10.0.0.5,192.168.1.100,DDoS
305,198.51.67.244,192.168.1.100,DDoS
306,198.51.69.63,192.168.1.100,DDoS
307,10.0.0.50,192.168.1.100,DDoS
308,10.1.0.94,192.168.1.100,Normal
309,10.0.0.38,192.168.1.100,Normal
310,198.51.78.170,192.168.1.100,DDoS
311,10.1.0.241,192.168.1.100,DDoS
312,10.0.0.7,192.168.1.100,DDoS
313,10.1.0.238,192.168.1.100,DDoS
314,10.1.0.253,192.168.1.100,DDoS
315,198.51.150.195,192.168.1.100,DDoS
316,198.51.105.138,192.168.1.100,DDoS
317,198.51.51.236,192.168.1.100,DDoS
318,10.1.0.202,192.168.1.100,DDoS
319,10.0.0.27,192.168.1.100,Normal
320,10.1.0.120,192.168.1.100,Normal
321,198.51.0.203,192.168.1.100,DDoS
322,10.0.0.20,192.168.1.100,Normal
323,10.0.0.39,192.168.1.100,DDoS
324,10.1.0.148,192.168.1.100,DDoS
325,198.51.145.185,192.168.1.100,DDoS
326,198.51.227.50,192.168.1.100,DDoS
327,10.0.0.49,192.168.1.100,Normal
328,10.1.0.177,192.168.1.100,Normal
329,10.0.0.18,192.168.1.100,Normal
330,10.0.0.18,192.168.1.100,Normal
331,10.1.0.218,192.168.1.100,Normal
332,198.51.217.27,192.168.1.100,DDoS
333,10.1.0.227,192.168.1.100,Normal
334,10.0.0.33,192.168.1.100,Normal
335,198.51.88.92,192.168.1.100,DDoS
336,198.51.83.101,192.168.1.100,DDoS
337,10.1.0.100,192.168.1.100,Normal
338,198.51.62.197,192.168.1.100,DDoS
339,10.1.0.74,192.168.1.100,DDoS
340,10.1.0.15,192.168.1.100,DDoS
341,198.51.213.245,192.168.1.100,DDoS
342,10.1.0.177,192.168.1.100,Normal
343,10.1.0.190,192.168.1.100,DDoS
344,10.1.0.161,192.168.1.100,DDoS
345,10.0.0.13,192.168.1.100,DDoS
346,198.51.68.60,192.168.1.100,DDoS
347,198.51.145.10,192.168.1.100,DDoS
348,198.51.71.236,192.168.1.100,DDoS
349,10.1.0.18,192.168.1.100,DDoS
350,198.51.48.34,192.168.1.100,DDoS
351,10.1.0.143,192.168.1.100,DDoS
352,198.51.46.182,192.168.1.100,DDoS
353,198.51.14.190,192.168.1.100,DDoS
354,10.0.0.32,192.168.1.100,DDoS
355,10.1.0.182,192.168.1.100,DDoS
356,198.51.89.29,192.168.1.100,DDoS
357,198.51.208.105,192.168.1.100,DDoS
358,10.1.0.191,192.168.1.100,Normal
359,10.0.0.17,192.168.1.100,Normal
360,10.1.0.71,192.168.1.100,Normal
361,10.1.0.199,192.168.1.100,Normal
362,10.1.0.74,192.168.1.100,Normal
363,198.51.171.229,192.168.1.100,DDoS
364,198.51.249.237,192.168.1.100,DDoS
365,10.0.0.15,192.168.1.100,Normal
366,10.1.0.39,192.168.1.100,Normal
367,10.0.0.11,192.168.1.100,Normal
368,198.51.166.160,192.168.1.100,DDoS
369,198.51.11.95,192.168.1.100,DDoS
370,198.51.41.46,192.168.1.100,DDoS
371,198.51.86.56,192.168.1.100,DDoS
372,10.1.0.151,192.168.1.100,DDoS
373,10.1.0.23,192.168.1.100,Normal
374,10.1.0.162,192.168.1.100,Normal
375,10.0.0.28,192.168.1.100,DDoS
376,10.1.0.228,192.168.1.100,DDoS
377,198.51.147.28,192.168.1.100,DDoS
378,198.51.221.6,192.168.1.100,DDoS
379,198.51.254.244,192.168.1.100,DDoS
380,10.1.0.70,192.168.1.100,Normal
381,10.1.0.78,192.168.1.100,Normal
382,198.51.174.185,192.168.1.100,DDoS
383,10.1.0.138,192.168.1.100,DDoS
384,10.0.0.36,192.168.1.100,Normal
385,10.1.0.3,192.168.1.100,Normal
386,10.1.0.145,192.168.1.100,Normal
387,10.1.0.110,192.168.1.100,Normal
388,10.0.0.45,192.168.1.100,DDoS
389,198.51.156.119,192.168.1.100,DDoS
390,198.51.161.48,192.168.1.100,DDoS
391,10.1.0.93,192.168.1.100,Normal
392,198.51.68.92,192.168.1.100,DDoS
393,10.1.0.198,192.168.1.100,Normal
394,10.0.0.29,192.168.1.100,DDoS
395,10.0.0.40,192.168.1.100,Normal
396,198.51.226.43,192.168.1.100,DDoS
397,10.1.0.9,192.168.1.100,Normal
398,10.1.0.103,192.168.1.100,Normal
399,10.0.0.20,192.168.1.100,Normal
400,10.1.0.235,192.168.1.100,DDoS
401,198.51.96.132,192.168.1.100,DDoS
402,198.51.223.138,192.168.1.100,DDoS
403,10.1.0.113,192.168.1.100,Normal
404,198.51.236.7,192.168.1.100,DDoS
405,198.51.141.212,192.168.1.100,DDoS
406,198.51.218.183,192.168.1.100,DDoS
407,10.1.0.148,192.168.1.100,DDoS
408,10.0.0.42,192.168.1.100,DDoS
409,10.1.0.251,192.168.1.100,DDoS
410,10.0.0.50,192.168.1.100,DDoS
411,10.1.0.97,192.168.1.100,Normal
412,10.0.0.26,192.168.1.100,Normal
413,10.1.0.179,192.168.1.100,Normal
414,10.0.0.12,192.168.1.100,Normal
415,198.51.220.52,192.168.1.100,DDoS
416,10.0.0.23,192.168.1.100,Normal
417,10.1.0.135,192.168.1.100,Normal
418,198.51.111.86,192.168.1.100,DDoS
419,198.51.14.17,192.168.1.100,DDoS
420,198.51.77.240,192.168.1.100,DDoS
421,198.51.235.32,192.168.1.100,DDoS
422,198.51.100.63,192.168.1.100,DDoS
423,10.0.0.43,192.168.1.100,Normal
424,10.1.0.118,192.168.1.100,DDoS
425,10.1.0.100,192.168.1.100,Normal
426,198.51.39.3,192.168.1.100,DDoS
427,10.1.0.211,192.168.1.100,Normal
428,10.1.0.159,192.168.1.100,DDoS
429,10.0.0.39,192.168.1.100,Normal
430,10.0.0.15,192.168.1.100,DDoS
431,198.51.42.66,192.168.1.100,DDoS
432,10.1.0.33,192.168.1.100,Normal
433,10.1.0.215,192.168.1.100,Normal
434,198.51.166.24,192.168.1.100,DDoS
435,10.1.0.122,192.168.1.100,Normal
436,198.51.213.16,192.168.1.100,DDoS
437,198.51.34.67,192.168.1.100,DDoS
438,10.1.0.165,192.168.1.100,DDoS
439,10.0.0.13,192.168.1.100,DDoS
440,198.51.108.247,192.168.1.100,DDoS
441,198.51.123.78,192.168.1.100,DDoS
442,10.0.0.48,192.168.1.100,DDoS
443,10.1.0.239,192.168.1.100,Normal
444,198.51.68.187,192.168.1.100,DDoS
445,198.51.149.71,192.168.1.100,DDoS
446,10.1.0.229,192.168.1.100,Normal
447,10.0.0.45,192.168.1.100,DDoS
448,10.0.0.20,192.168.1.100,DDoS
449,198.51.159.81,192.168.1.100,DDoS
450,198.51.193.204,192.168.1.100,DDoS
451,10.0.0.40,192.168.1.100,Normal
452,10.1.0.44,192.168.1.100,Normal
453,198.51.102.209,192.168.1.100,DDoS
454,198.51.16.254,192.168.1.100,DDoS
455,10.0.0.44,192.168.1.100,Normal
456,10.1.0.174,192.168.1.100,DDoS
457,10.1.0.154,192.168.1.100,DDoS
458,198.51.122.152,192.168.1.100,DDoS
459,10.0.0.49,192.168.1.100,DDoS
460,10.0.0.46,192.168.1.100,Normal
461,10.1.0.29,192.168.1.100,Normal
462,10.1.0.106,192.168.1.100,Normal
463,198.51.163.103,192.168.1.100,DDoS
464,198.51.142.187,192.168.1.100,DDoS
465,10.1.0.222,192.168.1.100,DDoS
466,10.1.0.171,192.168.1.100,DDoS
467,198.51.233.9,192.168.1.100,DDoS
468,10.1.0.192,192.168.1.100,Normal
469,10.1.0.97,192.168.1.100,Normal
470,198.51.201.85,192.168.1.100,DDoS
471,10.0.0.34,192.168.1.100,Normal
472,10.1.0.158,192.168.1.100,Normal
473,10.1.0.188,192.168.1.100,DDoS
474,10.0.0.17,192.168.1.100,Normal
475,10.1.0.47,192.168.1.100,DDoS
476,198.51.25.2,192.168.1.100,DDoS
477,198.51.98.36,192.168.1.100,DDoS
478,10.1.0.170,192.168.1.100,Normal
479,198.51.254.217,192.168.1.100,DDoS
480,10.0.0.20,192.168.1.100,DDoS
481,198.51.2.64,192.168.1.100,DDoS
482,198.51.136.244,192.168.1.100,DDoS
483,198.51.96.215,192.168.1.100,DDoS
484,198.51.141.194,192.168.1.100,DDoS
485,10.1.0.192,192.168.1.100,Normal
486,10.1.0.30,192.168.1.100,Normal
487,10.1.0.40,192.168.1.100,DDoS
488,10.1.0.57,192.168.1.100,Normal
489,198.51.81.233,192.168.1.100,DDoS
490,198.51.26.145,192.168.1.100,DDoS
491,10.1.0.175,192.168.1.100,DDoS
492,10.0.0.44,192.168.1.100,DDoS
493,10.0.0.42,192.168.1.100,DDoS
494,198.51.223.174,192.168.1.100,DDoS
495,10.1.0.155,192.168.1.100,DDoS
496,10.1.0.196,192.168.1.100,DDoS
497,198.51.253.111,192.168.1.100,DDoS
498,10.0.0.5,192.168.1.100,Normal
499,198.51.11.113,192.168.1.100,DDoS
